<experiment> rnn on mnist
	class: 7, rate: 96.69%
	class: 8, rate: 96.82%
	class: 9, rate: 95.44%
[progress] epoch: 28
(train) loss: 4.4203, accuracy: 97.82%
	class: 0, rate: 98.92%
	class: 1, rate: 98.56%
	class: 2, rate: 97.73%
	class: 3, rate: 97.16%
	class: 4, rate: 97.57%
	class: 5, rate: 97.71%
	class: 6, rate: 98.53%
	class: 7, rate: 98.07%
	class: 8, rate: 97.33%
	class: 9, rate: 96.50%
(test) loss: 0.8963, accuracy: 97.40%
	class: 0, rate: 98.78%
	class: 1, rate: 98.77%
	class: 2, rate: 96.61%
	class: 3, rate: 96.44%
	class: 4, rate: 97.05%
	class: 5, rate: 97.98%
	class: 6, rate: 97.70%
	class: 7, rate: 96.79%
	class: 8, rate: 97.43%
	class: 9, rate: 96.43%
[progress] epoch: 29
(train) loss: 4.2633, accuracy: 97.79%
	class: 0, rate: 98.99%
	class: 1, rate: 98.43%
	class: 2, rate: 97.87%
	class: 3, rate: 97.03%
	class: 4, rate: 97.57%
	class: 5, rate: 97.57%
	class: 6, rate: 98.56%
	class: 7, rate: 98.18%
	class: 8, rate: 97.25%
	class: 9, rate: 96.39%
(test) loss: 0.8866, accuracy: 97.38%
	class: 0, rate: 98.57%
	class: 1, rate: 99.56%
	class: 2, rate: 96.90%
	class: 3, rate: 97.92%
	class: 4, rate: 95.93%
	class: 5, rate: 95.96%
	class: 6, rate: 98.43%
	class: 7, rate: 97.57%
	class: 8, rate: 96.61%
	class: 9, rate: 95.94%
[progress] epoch: 30
(train) loss: 4.1389, accuracy: 97.88%
	class: 0, rate: 98.94%
	class: 1, rate: 98.68%
	class: 2, rate: 97.89%
	class: 3, rate: 97.10%
	class: 4, rate: 97.67%
	class: 5, rate: 97.80%
	class: 6, rate: 98.53%
	class: 7, rate: 98.18%
	class: 8, rate: 97.56%
	class: 9, rate: 96.30%
(test) loss: 0.8855, accuracy: 97.55%
	class: 0, rate: 98.57%
	class: 1, rate: 99.38%
	class: 2, rate: 97.77%
	class: 3, rate: 97.92%
	class: 4, rate: 96.44%
	class: 5, rate: 94.84%
	class: 6, rate: 98.54%
	class: 7, rate: 97.47%
	class: 8, rate: 97.74%
	class: 9, rate: 96.33%
[progress] epoch: 31
(train) loss: 3.8047, accuracy: 98.07%
	class: 0, rate: 99.11%
	class: 1, rate: 98.75%
	class: 2, rate: 98.05%
	class: 3, rate: 97.23%
	class: 4, rate: 97.83%
	class: 5, rate: 97.82%
	class: 6, rate: 98.56%
	class: 7, rate: 98.48%
	class: 8, rate: 97.81%
	class: 9, rate: 96.96%
(test) loss: 0.8933, accuracy: 97.47%
	class: 0, rate: 98.98%
	class: 1, rate: 98.77%
	class: 2, rate: 97.29%
	class: 3, rate: 97.52%
	class: 4, rate: 97.35%
	class: 5, rate: 95.29%
	class: 6, rate: 98.54%
	class: 7, rate: 97.57%
	class: 8, rate: 97.33%
	class: 9, rate: 95.74%
[progress] epoch: 32
(train) loss: 3.6640, accuracy: 98.17%
	class: 0, rate: 99.02%
	class: 1, rate: 98.74%
	class: 2, rate: 98.09%
	class: 3, rate: 97.46%
	class: 4, rate: 97.91%
	class: 5, rate: 97.97%
	class: 6, rate: 98.83%
	class: 7, rate: 98.53%
	class: 8, rate: 98.00%
	class: 9, rate: 97.08%
(test) loss: 0.9269, accuracy: 97.45%
	class: 0, rate: 98.67%
	class: 1, rate: 98.85%
	class: 2, rate: 97.67%
	class: 3, rate: 97.62%
	class: 4, rate: 98.37%
	class: 5, rate: 97.53%
	class: 6, rate: 98.23%
	class: 7, rate: 96.30%
	class: 8, rate: 97.33%
	class: 9, rate: 93.86%
[progress] epoch: 33
(train) loss: 3.6874, accuracy: 98.11%
	class: 0, rate: 99.24%
	class: 1, rate: 98.81%
	class: 2, rate: 97.85%
	class: 3, rate: 97.41%
	class: 4, rate: 97.98%
	class: 5, rate: 97.92%
	class: 6, rate: 98.92%
	class: 7, rate: 98.42%
	class: 8, rate: 97.62%
	class: 9, rate: 96.84%
(test) loss: 0.8361, accuracy: 97.62%
	class: 0, rate: 98.67%
	class: 1, rate: 99.03%
	class: 2, rate: 97.97%
	class: 3, rate: 98.51%
	class: 4, rate: 97.15%
	class: 5, rate: 95.52%
	class: 6, rate: 98.12%
	class: 7, rate: 97.08%
	class: 8, rate: 96.92%
	class: 9, rate: 96.83%
[progress] epoch: 34
(train) loss: 3.6301, accuracy: 98.12%
	class: 0, rate: 99.16%
	class: 1, rate: 98.78%
	class: 2, rate: 98.05%
	class: 3, rate: 97.21%
	class: 4, rate: 97.89%
	class: 5, rate: 97.77%
	class: 6, rate: 98.70%
	class: 7, rate: 98.55%
	class: 8, rate: 98.05%
	class: 9, rate: 96.92%
(test) loss: 0.8917, accuracy: 97.45%
	class: 0, rate: 98.47%
	class: 1, rate: 99.38%
	class: 2, rate: 97.38%
	class: 3, rate: 97.82%
	class: 4, rate: 98.47%
	class: 5, rate: 95.96%
	class: 6, rate: 98.64%
	class: 7, rate: 96.89%
	class: 8, rate: 96.71%
	class: 9, rate: 94.45%
[progress] epoch: 35
(train) loss: 3.4586, accuracy: 98.29%
	class: 0, rate: 99.24%
	class: 1, rate: 98.90%
	class: 2, rate: 98.29%
	class: 3, rate: 97.72%
	class: 4, rate: 98.00%
	class: 5, rate: 98.10%
	class: 6, rate: 98.72%
	class: 7, rate: 98.52%
	class: 8, rate: 98.02%
	class: 9, rate: 97.31%
(test) loss: 0.8972, accuracy: 97.47%
	class: 0, rate: 98.47%
	class: 1, rate: 98.77%
	class: 2, rate: 97.97%
	class: 3, rate: 97.43%
	class: 4, rate: 98.78%
	class: 5, rate: 95.96%
	class: 6, rate: 97.91%
	class: 7, rate: 96.60%
	class: 8, rate: 98.15%
	class: 9, rate: 94.45%
[progress] epoch: 36
(train) loss: 3.4162, accuracy: 98.18%
	class: 0, rate: 99.31%
	class: 1, rate: 98.61%
	class: 2, rate: 98.12%
	class: 3, rate: 97.57%
	class: 4, rate: 98.07%
	class: 5, rate: 97.99%
	class: 6, rate: 98.94%
	class: 7, rate: 98.47%
	class: 8, rate: 97.59%
	class: 9, rate: 97.04%
(test) loss: 0.8564, accuracy: 97.44%
	class: 0, rate: 98.27%
	class: 1, rate: 99.56%
	class: 2, rate: 95.54%
	class: 3, rate: 96.83%
	class: 4, rate: 97.45%
	class: 5, rate: 97.98%
	class: 6, rate: 98.64%
	class: 7, rate: 96.98%
	class: 8, rate: 97.13%
	class: 9, rate: 95.94%
[progress] epoch: 37
(train) loss: 3.3227, accuracy: 98.28%
	class: 0, rate: 99.11%
	class: 1, rate: 98.98%
	class: 2, rate: 98.25%
	class: 3, rate: 97.54%
	class: 4, rate: 98.00%
	class: 5, rate: 98.21%
	class: 6, rate: 98.97%
	class: 7, rate: 98.58%
	class: 8, rate: 98.03%
	class: 9, rate: 97.01%
(test) loss: 0.8583, accuracy: 97.55%
	class: 0, rate: 98.78%
	class: 1, rate: 99.12%
	class: 2, rate: 97.58%
	class: 3, rate: 97.33%
	class: 4, rate: 98.57%
	class: 5, rate: 96.30%
	class: 6, rate: 98.12%
	class: 7, rate: 97.67%
	class: 8, rate: 97.02%
	class: 9, rate: 94.75%
[progress] epoch: 38
(train) loss: 3.0695, accuracy: 98.52%
	class: 0, rate: 99.44%
	class: 1, rate: 98.93%
	class: 2, rate: 98.57%
	class: 3, rate: 97.98%
	class: 4, rate: 98.37%
	class: 5, rate: 98.38%
	class: 6, rate: 98.82%
	class: 7, rate: 98.77%
	class: 8, rate: 98.44%
	class: 9, rate: 97.39%
(test) loss: 0.7825, accuracy: 97.80%
	class: 0, rate: 98.47%
	class: 1, rate: 99.21%
	class: 2, rate: 97.00%
	class: 3, rate: 97.13%
	class: 4, rate: 97.66%
	class: 5, rate: 97.09%
	class: 6, rate: 98.12%
	class: 7, rate: 98.44%
	class: 8, rate: 97.84%
	class: 9, rate: 96.83%
[progress] epoch: 39
(train) loss: 3.2806, accuracy: 98.34%
	class: 0, rate: 99.19%
	class: 1, rate: 99.05%
	class: 2, rate: 98.34%
	class: 3, rate: 97.65%
	class: 4, rate: 97.88%
	class: 5, rate: 98.16%
	class: 6, rate: 98.97%
	class: 7, rate: 98.63%
	class: 8, rate: 98.31%
	class: 9, rate: 97.13%
(test) loss: 0.8388, accuracy: 97.65%
	class: 0, rate: 98.88%
	class: 1, rate: 98.85%
	class: 2, rate: 97.77%
	class: 3, rate: 96.04%
	class: 4, rate: 97.66%
	class: 5, rate: 96.75%
	class: 6, rate: 98.33%
	class: 7, rate: 98.25%
	class: 8, rate: 96.51%
	class: 9, rate: 97.22%
[progress] epoch: 40
